ID,Tanggal,Pelabuhan,Jenis Kendala,Cuaca,Volume Kargo (ton),Risiko Delay (Jam),Rekomendasi AI
ISS0492,11/07/2025,Bitung,Overload,Hujan Deras,10406,0.45,Alihkan ke pelabuhan terdekat
ISS0493,25/07/2025,Belawan,Overload,Badai,12209,0.8,Aktifkan jalur logistik alternatif
ISS0494,12/06/2025,Makassar,Cuaca Buruk,Angin Kencang,14123,0.42,Alihkan kontainer ke terminal lain
ISS0495,02/07/2025,Belawan,Force Majeure,Badai,13837,0.32,Tunda pengiriman hingga cuaca membaik
ISS0496,30/06/2025,Tanjung Priok,Force Majeure,Angin Kencang,19933,0.26,Alihkan ke pelabuhan terdekat
ISS0497,26/06/2025,Tanjung Priok,Cuaca Buruk,Kabut Tebal,2591,0.73,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0498,14/07/2025,Tanjung Perak,Overload,Angin Kencang,14091,0.46,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0499,18/06/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,10022,0.48,Koordinasi dengan otoritas pelabuhan
ISS0500,15/07/2025,Bitung,Cuaca Buruk,Cerah,2038,0.42,Aktifkan jalur logistik alternatif
ISS0501,21/07/2025,Belawan,Overload,Hujan Deras,12610,0.76,Tambahkan armada ke pelabuhan
ISS0502,14/06/2025,Makassar,Force Majeure,Cerah,18409,0.23,Percepat proses bongkar saat cuaca memungkinkan
ISS0503,04/07/2025,Bitung,Cuaca Buruk,Hujan Deras,16078,0.35,Aktifkan jalur logistik alternatif
ISS0504,27/07/2025,Makassar,Force Majeure,Kabut Tebal,6224,0.81,Tunda pengiriman hingga cuaca membaik
ISS0505,28/06/2025,Bitung,Force Majeure,Angin Kencang,2847,0.5,Aktifkan jalur logistik alternatif
ISS0506,30/07/2025,Tanjung Perak,Cuaca Buruk,Cerah,13976,0.21,Koordinasi dengan otoritas pelabuhan
ISS0507,27/07/2025,Tanjung Perak,Cuaca Buruk,Badai,5024,0.77,Koordinasi dengan otoritas pelabuhan
ISS0508,24/06/2025,Makassar,Overload,Kabut Tebal,17486,0.79,Alihkan kontainer ke terminal lain
ISS0509,12/07/2025,Tanjung Perak,Cuaca Buruk,Badai,3529,0.88,Alihkan kontainer ke terminal lain
ISS0510,29/07/2025,Bitung,Cuaca Buruk,Badai,18347,0.2,Percepat proses bongkar saat cuaca memungkinkan
ISS0511,14/06/2025,Tanjung Priok,Force Majeure,Cerah,11078,0.58,Alihkan kontainer ke terminal lain
ISS0512,10/07/2025,Belawan,Cuaca Buruk,Badai,3566,0.36,Tunda pengiriman hingga cuaca membaik
ISS0513,16/06/2025,Makassar,Force Majeure,Cerah,5365,0.43,Alokasikan ke terminal cadangan
ISS0514,20/07/2025,Bitung,Cuaca Buruk,Hujan Deras,17400,0.14,Percepat proses bongkar saat cuaca memungkinkan
ISS0515,18/07/2025,Makassar,Cuaca Buruk,Cerah,2682,0.8,Alihkan ke pelabuhan terdekat
ISS0516,05/06/2025,Bitung,Cuaca Buruk,Hujan Deras,6755,0.59,Aktifkan jalur logistik alternatif
ISS0517,16/06/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,11983,0.28,Alokasikan ke terminal cadangan
ISS0518,07/07/2025,Tanjung Priok,Cuaca Buruk,Kabut Tebal,2511,0.19,Tunda pengiriman hingga cuaca membaik
ISS0519,18/06/2025,Tanjung Perak,Overload,Angin Kencang,14616,0.29,Tambahkan armada ke pelabuhan
ISS0520,28/06/2025,Belawan,Overload,Angin Kencang,11387,0.89,Tunda pengiriman hingga cuaca membaik
ISS0521,27/07/2025,Tanjung Priok,Overload,Hujan Deras,9321,0.57,Aktifkan jalur logistik alternatif
ISS0522,12/07/2025,Makassar,Cuaca Buruk,Kabut Tebal,15593,0.19,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0523,22/06/2025,Tanjung Priok,Cuaca Buruk,Badai,10795,0.33,Tunda pengiriman hingga cuaca membaik
ISS0524,19/07/2025,Belawan,Cuaca Buruk,Kabut Tebal,5656,0.77,Koordinasi dengan otoritas pelabuhan
ISS0525,02/06/2025,Makassar,Force Majeure,Badai,15186,0.28,Koordinasi dengan otoritas pelabuhan
ISS0526,23/06/2025,Belawan,Cuaca Buruk,Cerah,19898,0.25,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0527,14/07/2025,Bitung,Force Majeure,Cerah,13992,0.4,Tunda pengiriman hingga cuaca membaik
ISS0528,19/07/2025,Bitung,Cuaca Buruk,Cerah,5341,0.27,Alokasikan ke terminal cadangan
ISS0529,03/06/2025,Belawan,Cuaca Buruk,Badai,2830,0.92,Alokasikan ke terminal cadangan
ISS0530,29/06/2025,Tanjung Priok,Cuaca Buruk,Cerah,10040,0.19,Alokasikan ke terminal cadangan
ISS0531,22/06/2025,Bitung,Overload,Hujan Deras,9883,0.16,Tambahkan armada ke pelabuhan
ISS0532,27/06/2025,Belawan,Overload,Hujan Deras,2310,0.69,Aktifkan jalur logistik alternatif
ISS0533,21/06/2025,Tanjung Perak,Cuaca Buruk,Badai,5270,0.8,Percepat proses bongkar saat cuaca memungkinkan
ISS0534,08/06/2025,Bitung,Force Majeure,Cerah,15838,0.82,Alokasikan ke terminal cadangan
ISS0535,09/06/2025,Tanjung Perak,Overload,Kabut Tebal,15373,0.54,Alokasikan ke terminal cadangan
ISS0536,01/07/2025,Bitung,Force Majeure,Badai,6111,0.67,Alokasikan ke terminal cadangan
ISS0537,28/06/2025,Tanjung Perak,Force Majeure,Hujan Deras,17692,0.25,Alihkan kontainer ke terminal lain
ISS0538,05/07/2025,Tanjung Priok,Cuaca Buruk,Badai,8701,0.9,Alihkan kontainer ke terminal lain
ISS0539,16/07/2025,Belawan,Overload,Angin Kencang,10481,0.91,Aktifkan jalur logistik alternatif
ISS0540,01/07/2025,Makassar,Overload,Kabut Tebal,12117,0.68,Alihkan kontainer ke terminal lain
ISS0541,05/07/2025,Tanjung Perak,Overload,Badai,17922,0.66,Alihkan ke pelabuhan terdekat
ISS0542,11/06/2025,Bitung,Cuaca Buruk,Kabut Tebal,4084,0.92,Tunda pengiriman hingga cuaca membaik
ISS0543,25/06/2025,Makassar,Overload,Badai,2116,0.54,Percepat proses bongkar saat cuaca memungkinkan
ISS0544,27/07/2025,Tanjung Priok,Cuaca Buruk,Badai,8550,0.73,Percepat proses bongkar saat cuaca memungkinkan
ISS0545,29/07/2025,Tanjung Perak,Overload,Cerah,9057,0.74,Percepat proses bongkar saat cuaca memungkinkan
ISS0546,15/07/2025,Makassar,Force Majeure,Cerah,17271,0.89,Alokasikan ke terminal cadangan
ISS0547,24/07/2025,Tanjung Perak,Overload,Kabut Tebal,12437,0.31,Alihkan kontainer ke terminal lain
ISS0548,14/06/2025,Tanjung Priok,Overload,Kabut Tebal,4764,0.83,Alokasikan ke terminal cadangan
ISS0549,10/07/2025,Makassar,Force Majeure,Cerah,15050,0.86,Alihkan kontainer ke terminal lain
ISS0550,03/06/2025,Makassar,Force Majeure,Cerah,5065,0.82,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0551,30/06/2025,Tanjung Priok,Overload,Hujan Deras,17811,0.55,Alihkan ke pelabuhan terdekat
ISS0552,06/07/2025,Belawan,Force Majeure,Hujan Deras,12789,0.34,Alihkan kontainer ke terminal lain
ISS0553,18/07/2025,Bitung,Cuaca Buruk,Hujan Deras,9334,0.24,Tambahkan armada ke pelabuhan
ISS0554,25/07/2025,Bitung,Force Majeure,Cerah,19761,0.28,Alokasikan ke terminal cadangan
ISS0555,01/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,9777,0.36,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0556,30/06/2025,Makassar,Force Majeure,Cerah,5173,0.48,Aktifkan jalur logistik alternatif
ISS0557,13/06/2025,Tanjung Perak,Force Majeure,Hujan Deras,3427,0.29,Percepat proses bongkar saat cuaca memungkinkan
ISS0558,16/07/2025,Bitung,Cuaca Buruk,Kabut Tebal,7789,0.13,Tambahkan armada ke pelabuhan
ISS0559,04/06/2025,Tanjung Priok,Cuaca Buruk,Cerah,2015,0.74,Alihkan kontainer ke terminal lain
ISS0560,24/06/2025,Bitung,Force Majeure,Hujan Deras,10190,0.34,Percepat proses bongkar saat cuaca memungkinkan
ISS0561,18/07/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,8752,0.32,Alihkan kontainer ke terminal lain
ISS0562,28/07/2025,Bitung,Overload,Kabut Tebal,9939,0.92,Koordinasi dengan otoritas pelabuhan
ISS0563,07/06/2025,Tanjung Perak,Force Majeure,Cerah,8676,0.15,Alihkan kontainer ke terminal lain
ISS0564,28/07/2025,Makassar,Cuaca Buruk,Angin Kencang,3615,0.64,Alihkan ke pelabuhan terdekat
ISS0565,29/07/2025,Tanjung Perak,Cuaca Buruk,Cerah,9711,0.31,Tambahkan armada ke pelabuhan
ISS0566,20/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,8175,0.53,Koordinasi dengan otoritas pelabuhan
ISS0567,24/07/2025,Makassar,Overload,Angin Kencang,19898,0.19,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0568,12/07/2025,Bitung,Force Majeure,Angin Kencang,4346,0.36,Koordinasi dengan otoritas pelabuhan
ISS0569,11/07/2025,Tanjung Priok,Force Majeure,Hujan Deras,12534,0.44,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0570,30/06/2025,Belawan,Overload,Kabut Tebal,10577,0.76,Alihkan kontainer ke terminal lain
ISS0571,25/06/2025,Tanjung Priok,Cuaca Buruk,Kabut Tebal,6020,0.51,Percepat proses bongkar saat cuaca memungkinkan
ISS0572,25/07/2025,Tanjung Priok,Force Majeure,Hujan Deras,8347,0.74,Koordinasi dengan otoritas pelabuhan
ISS0573,17/06/2025,Makassar,Force Majeure,Hujan Deras,3654,0.23,Koordinasi dengan otoritas pelabuhan
ISS0574,21/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,8213,0.43,Aktifkan jalur logistik alternatif
ISS0575,22/07/2025,Makassar,Cuaca Buruk,Angin Kencang,9154,0.71,Aktifkan jalur logistik alternatif
ISS0576,14/06/2025,Bitung,Overload,Angin Kencang,11395,0.11,Tunda pengiriman hingga cuaca membaik
ISS0577,11/07/2025,Tanjung Priok,Cuaca Buruk,Kabut Tebal,8863,0.79,Aktifkan jalur logistik alternatif
ISS0578,06/07/2025,Makassar,Overload,Kabut Tebal,16570,0.76,Alihkan ke pelabuhan terdekat
ISS0579,03/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,18872,0.34,Tambahkan armada ke pelabuhan
ISS0580,11/07/2025,Bitung,Force Majeure,Badai,12396,0.28,Aktifkan jalur logistik alternatif
ISS0581,18/06/2025,Bitung,Cuaca Buruk,Cerah,8198,0.75,Tambahkan armada ke pelabuhan
ISS0582,18/07/2025,Makassar,Overload,Angin Kencang,3352,0.32,Tunda pengiriman hingga cuaca membaik
ISS0583,09/07/2025,Tanjung Priok,Force Majeure,Kabut Tebal,5565,0.46,Koordinasi dengan otoritas pelabuhan
ISS0584,06/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,10340,0.2,Percepat proses bongkar saat cuaca memungkinkan
ISS0585,08/07/2025,Tanjung Perak,Force Majeure,Badai,2675,0.71,Tambahkan armada ke pelabuhan
ISS0586,18/06/2025,Bitung,Force Majeure,Kabut Tebal,12524,0.55,Koordinasi dengan otoritas pelabuhan
ISS0587,11/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,2239,0.52,Aktifkan jalur logistik alternatif
ISS0588,14/06/2025,Bitung,Force Majeure,Kabut Tebal,10640,0.61,Alokasikan ke terminal cadangan
ISS0589,13/07/2025,Belawan,Overload,Kabut Tebal,4727,0.39,Alihkan ke pelabuhan terdekat
ISS0590,21/07/2025,Tanjung Perak,Force Majeure,Kabut Tebal,14106,0.81,Alihkan kontainer ke terminal lain
ISS0591,24/07/2025,Tanjung Perak,Force Majeure,Angin Kencang,10617,0.78,Koordinasi dengan otoritas pelabuhan
ISS0592,13/06/2025,Bitung,Overload,Cerah,19276,0.71,Alihkan ke pelabuhan terdekat
ISS0593,11/07/2025,Tanjung Perak,Overload,Kabut Tebal,14516,0.14,Tambahkan armada ke pelabuhan
ISS0594,22/07/2025,Belawan,Overload,Badai,8510,0.39,Percepat proses bongkar saat cuaca memungkinkan
ISS0595,24/07/2025,Belawan,Force Majeure,Kabut Tebal,11086,0.72,Tambahkan armada ke pelabuhan
ISS0596,26/07/2025,Tanjung Priok,Force Majeure,Angin Kencang,14139,0.48,Alihkan ke pelabuhan terdekat
ISS0597,08/07/2025,Tanjung Priok,Force Majeure,Angin Kencang,5171,0.31,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0598,30/07/2025,Makassar,Force Majeure,Angin Kencang,8714,0.35,Alihkan ke pelabuhan terdekat
ISS0599,04/07/2025,Bitung,Cuaca Buruk,Angin Kencang,14418,0.75,Tambahkan armada ke pelabuhan
ISS0600,04/06/2025,Bitung,Force Majeure,Angin Kencang,17828,0.58,Aktifkan jalur logistik alternatif
ISS0601,14/07/2025,Bitung,Cuaca Buruk,Hujan Deras,12861,0.44,Alihkan kontainer ke terminal lain
ISS0602,21/07/2025,Tanjung Perak,Overload,Hujan Deras,7648,0.16,Tunda pengiriman hingga cuaca membaik
ISS0603,05/07/2025,Bitung,Cuaca Buruk,Badai,13054,0.11,Alihkan kontainer ke terminal lain
ISS0604,16/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,18734,0.4,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0605,30/07/2025,Belawan,Overload,Badai,19847,0.8,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0606,20/07/2025,Tanjung Priok,Force Majeure,Cerah,17059,0.44,Tambahkan armada ke pelabuhan
ISS0607,10/07/2025,Bitung,Force Majeure,Badai,10985,0.14,Tunda pengiriman hingga cuaca membaik
ISS0608,19/06/2025,Bitung,Overload,Angin Kencang,5169,0.39,Percepat proses bongkar saat cuaca memungkinkan
ISS0609,19/07/2025,Bitung,Force Majeure,Cerah,3229,0.67,Tunda pengiriman hingga cuaca membaik
ISS0610,25/07/2025,Tanjung Priok,Cuaca Buruk,Badai,13185,0.91,Tunda pengiriman hingga cuaca membaik
ISS0611,16/07/2025,Tanjung Perak,Force Majeure,Hujan Deras,17682,0.41,Tambahkan armada ke pelabuhan
ISS0612,23/07/2025,Makassar,Cuaca Buruk,Badai,3362,0.32,Aktifkan jalur logistik alternatif
ISS0613,15/06/2025,Belawan,Force Majeure,Badai,2108,0.2,Tunda pengiriman hingga cuaca membaik
ISS0614,07/06/2025,Tanjung Perak,Force Majeure,Cerah,4317,0.67,Percepat proses bongkar saat cuaca memungkinkan
ISS0615,26/06/2025,Bitung,Cuaca Buruk,Hujan Deras,10149,0.54,Alokasikan ke terminal cadangan
ISS0616,17/06/2025,Tanjung Priok,Overload,Kabut Tebal,8147,0.6,Percepat proses bongkar saat cuaca memungkinkan
ISS0617,27/06/2025,Tanjung Perak,Cuaca Buruk,Hujan Deras,9680,0.91,Tunda pengiriman hingga cuaca membaik
ISS0618,04/07/2025,Belawan,Force Majeure,Kabut Tebal,10777,0.8,Percepat proses bongkar saat cuaca memungkinkan
ISS0619,15/06/2025,Tanjung Perak,Force Majeure,Cerah,3073,0.92,Koordinasi dengan otoritas pelabuhan
ISS0620,29/07/2025,Belawan,Force Majeure,Angin Kencang,12345,0.14,Alokasikan ke terminal cadangan
ISS0621,03/07/2025,Makassar,Overload,Hujan Deras,7569,0.71,Alihkan ke pelabuhan terdekat
ISS0622,01/06/2025,Makassar,Cuaca Buruk,Kabut Tebal,5731,0.62,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0623,16/07/2025,Makassar,Overload,Badai,7472,0.67,Alokasikan ke terminal cadangan
ISS0624,11/06/2025,Bitung,Cuaca Buruk,Badai,9595,0.23,Alokasikan ke terminal cadangan
ISS0625,28/06/2025,Bitung,Cuaca Buruk,Kabut Tebal,11089,0.51,Tunda pengiriman hingga cuaca membaik
ISS0626,29/07/2025,Tanjung Perak,Cuaca Buruk,Cerah,6101,0.35,Alihkan ke pelabuhan terdekat
ISS0627,21/06/2025,Tanjung Priok,Cuaca Buruk,Cerah,9433,0.41,Aktifkan jalur logistik alternatif
ISS0628,23/07/2025,Belawan,Cuaca Buruk,Cerah,2296,0.85,Percepat proses bongkar saat cuaca memungkinkan
ISS0629,30/06/2025,Tanjung Perak,Force Majeure,Badai,9774,0.55,Koordinasi dengan otoritas pelabuhan
ISS0630,12/06/2025,Belawan,Overload,Hujan Deras,6259,0.42,Koordinasi dengan otoritas pelabuhan
ISS0631,06/07/2025,Belawan,Force Majeure,Angin Kencang,9174,0.31,Tambahkan armada ke pelabuhan
ISS0632,19/07/2025,Tanjung Perak,Force Majeure,Badai,17177,0.83,Aktifkan jalur logistik alternatif
ISS0633,22/07/2025,Belawan,Cuaca Buruk,Cerah,14092,0.17,Tunda pengiriman hingga cuaca membaik
ISS0634,20/07/2025,Bitung,Force Majeure,Angin Kencang,12820,0.4,Alokasikan ke terminal cadangan
ISS0635,09/06/2025,Belawan,Overload,Cerah,2053,0.72,Alihkan ke pelabuhan terdekat
ISS0636,20/07/2025,Belawan,Cuaca Buruk,Cerah,3426,0.63,Tunda pengiriman hingga cuaca membaik
ISS0637,19/06/2025,Belawan,Force Majeure,Cerah,5100,0.33,Alihkan ke pelabuhan terdekat
ISS0638,25/06/2025,Makassar,Overload,Badai,8179,0.12,Alokasikan ke terminal cadangan
ISS0639,27/07/2025,Belawan,Overload,Badai,13418,0.52,Aktifkan jalur logistik alternatif
ISS0640,07/06/2025,Bitung,Force Majeure,Hujan Deras,6207,0.44,Alokasikan ke terminal cadangan
ISS0641,22/06/2025,Makassar,Overload,Kabut Tebal,10181,0.81,Tunda pengiriman hingga cuaca membaik
ISS0642,13/07/2025,Tanjung Priok,Overload,Angin Kencang,18412,0.12,Percepat proses bongkar saat cuaca memungkinkan
ISS0643,29/06/2025,Belawan,Cuaca Buruk,Kabut Tebal,7215,0.51,Koordinasi dengan otoritas pelabuhan
ISS0644,30/07/2025,Bitung,Cuaca Buruk,Badai,16830,0.56,Aktifkan jalur logistik alternatif
ISS0645,27/07/2025,Tanjung Perak,Cuaca Buruk,Cerah,4484,0.95,Alihkan ke pelabuhan terdekat
ISS0646,06/07/2025,Tanjung Perak,Overload,Angin Kencang,18587,0.54,Aktifkan jalur logistik alternatif
ISS0647,07/06/2025,Makassar,Overload,Badai,6449,0.14,Tunda pengiriman hingga cuaca membaik
ISS0648,30/06/2025,Bitung,Cuaca Buruk,Kabut Tebal,14852,0.3,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0649,28/07/2025,Tanjung Priok,Force Majeure,Cerah,11061,0.2,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0650,10/07/2025,Belawan,Cuaca Buruk,Cerah,10375,0.23,Aktifkan jalur logistik alternatif
ISS0651,14/07/2025,Makassar,Cuaca Buruk,Kabut Tebal,15657,0.79,Percepat proses bongkar saat cuaca memungkinkan
ISS0652,25/06/2025,Belawan,Overload,Cerah,11995,0.73,Tambahkan armada ke pelabuhan
ISS0653,25/06/2025,Tanjung Perak,Overload,Hujan Deras,6076,0.35,Alihkan ke pelabuhan terdekat
ISS0654,01/06/2025,Tanjung Priok,Overload,Badai,10995,0.88,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0655,30/06/2025,Tanjung Priok,Cuaca Buruk,Cerah,12738,0.75,Aktifkan jalur logistik alternatif
ISS0656,26/06/2025,Tanjung Perak,Force Majeure,Hujan Deras,11531,0.27,Tambahkan armada ke pelabuhan
ISS0657,06/06/2025,Tanjung Priok,Force Majeure,Kabut Tebal,19117,0.4,Aktifkan jalur logistik alternatif
ISS0658,28/06/2025,Belawan,Overload,Angin Kencang,5514,0.68,Tunda pengiriman hingga cuaca membaik
ISS0659,19/07/2025,Tanjung Priok,Force Majeure,Badai,3734,0.53,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0660,08/06/2025,Belawan,Force Majeure,Kabut Tebal,3229,0.54,Tambahkan armada ke pelabuhan
ISS0661,27/06/2025,Bitung,Cuaca Buruk,Badai,8921,0.46,Percepat proses bongkar saat cuaca memungkinkan
ISS0662,25/07/2025,Bitung,Overload,Badai,15172,0.94,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0663,05/06/2025,Tanjung Priok,Overload,Badai,3830,0.22,Koordinasi dengan otoritas pelabuhan
ISS0664,10/06/2025,Tanjung Perak,Force Majeure,Angin Kencang,15110,0.12,Alihkan kontainer ke terminal lain
ISS0665,06/07/2025,Belawan,Overload,Kabut Tebal,15945,0.41,Tunda pengiriman hingga cuaca membaik
ISS0666,01/07/2025,Bitung,Force Majeure,Angin Kencang,19547,0.21,Alihkan kontainer ke terminal lain
ISS0667,05/07/2025,Bitung,Cuaca Buruk,Hujan Deras,5782,0.28,Alihkan ke pelabuhan terdekat
ISS0668,24/06/2025,Makassar,Overload,Hujan Deras,12940,0.49,Tunda pengiriman hingga cuaca membaik
ISS0669,17/07/2025,Makassar,Force Majeure,Kabut Tebal,5635,0.69,Koordinasi dengan otoritas pelabuhan
ISS0670,30/06/2025,Tanjung Perak,Overload,Kabut Tebal,12621,0.48,Alokasikan ke terminal cadangan
ISS0671,29/07/2025,Tanjung Perak,Overload,Angin Kencang,14064,0.8,Koordinasi dengan otoritas pelabuhan
ISS0672,10/06/2025,Makassar,Cuaca Buruk,Badai,7484,0.28,Tambahkan armada ke pelabuhan
ISS0673,08/07/2025,Belawan,Force Majeure,Angin Kencang,17475,0.47,Aktifkan jalur logistik alternatif
ISS0674,18/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,17680,0.45,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0675,14/06/2025,Bitung,Force Majeure,Badai,14005,0.83,Koordinasi dengan otoritas pelabuhan
ISS0676,11/06/2025,Makassar,Cuaca Buruk,Cerah,12041,0.57,Percepat proses bongkar saat cuaca memungkinkan
ISS0677,05/07/2025,Bitung,Overload,Hujan Deras,8977,0.59,Tunda pengiriman hingga cuaca membaik
ISS0678,10/07/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,12765,0.87,Alokasikan ke terminal cadangan
ISS0679,04/06/2025,Belawan,Force Majeure,Angin Kencang,11214,0.89,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0680,03/06/2025,Tanjung Priok,Overload,Badai,2444,0.19,Alihkan kontainer ke terminal lain
ISS0681,30/06/2025,Makassar,Force Majeure,Cerah,14730,0.92,Alihkan ke pelabuhan terdekat
ISS0682,11/07/2025,Belawan,Overload,Hujan Deras,18676,0.17,Alihkan kontainer ke terminal lain
ISS0683,28/06/2025,Makassar,Cuaca Buruk,Hujan Deras,17374,0.73,Percepat proses bongkar saat cuaca memungkinkan
ISS0684,05/07/2025,Makassar,Overload,Angin Kencang,19785,0.26,Alihkan ke pelabuhan terdekat
ISS0685,12/06/2025,Belawan,Overload,Badai,7107,0.76,Tambahkan armada ke pelabuhan
ISS0686,27/07/2025,Bitung,Overload,Angin Kencang,18822,0.19,Alihkan ke pelabuhan terdekat
ISS0687,26/06/2025,Tanjung Perak,Overload,Badai,17296,0.41,Tambahkan armada ke pelabuhan
ISS0688,14/07/2025,Makassar,Overload,Kabut Tebal,2020,0.58,Percepat proses bongkar saat cuaca memungkinkan
ISS0689,08/06/2025,Tanjung Priok,Force Majeure,Kabut Tebal,7565,0.1,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0690,04/06/2025,Belawan,Cuaca Buruk,Hujan Deras,16877,0.94,Alokasikan ke terminal cadangan
ISS0691,16/07/2025,Makassar,Overload,Hujan Deras,14260,0.8,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0692,03/07/2025,Belawan,Overload,Cerah,7891,0.11,Koordinasi dengan otoritas pelabuhan
ISS0693,19/06/2025,Bitung,Overload,Cerah,15733,0.33,Alihkan kontainer ke terminal lain
ISS0694,19/07/2025,Bitung,Overload,Hujan Deras,13435,0.94,Alihkan ke pelabuhan terdekat
ISS0695,11/06/2025,Tanjung Perak,Overload,Badai,15714,0.61,Tambahkan armada ke pelabuhan
ISS0696,27/07/2025,Tanjung Perak,Overload,Angin Kencang,13072,0.76,Tambahkan armada ke pelabuhan
ISS0697,11/07/2025,Makassar,Force Majeure,Angin Kencang,11408,0.58,Percepat proses bongkar saat cuaca memungkinkan
ISS0698,08/07/2025,Bitung,Force Majeure,Angin Kencang,2745,0.87,Percepat proses bongkar saat cuaca memungkinkan
ISS0699,26/07/2025,Tanjung Priok,Overload,Cerah,11545,0.84,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0700,22/07/2025,Tanjung Perak,Cuaca Buruk,Badai,11323,0.44,Koordinasi dengan otoritas pelabuhan
ISS0701,07/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,16939,0.37,Alokasikan ke terminal cadangan
ISS0702,09/07/2025,Tanjung Priok,Overload,Hujan Deras,4000,0.87,Alihkan ke pelabuhan terdekat
ISS0703,05/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,9077,0.16,Tunda pengiriman hingga cuaca membaik
ISS0704,09/07/2025,Belawan,Cuaca Buruk,Hujan Deras,5722,0.13,Alokasikan ke terminal cadangan
ISS0705,21/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,8519,0.16,Aktifkan jalur logistik alternatif
ISS0706,24/06/2025,Belawan,Cuaca Buruk,Kabut Tebal,18881,0.27,Alokasikan ke terminal cadangan
ISS0707,02/07/2025,Bitung,Cuaca Buruk,Cerah,12822,0.46,Tambahkan armada ke pelabuhan
ISS0708,09/06/2025,Bitung,Cuaca Buruk,Badai,13416,0.48,Alokasikan ke terminal cadangan
ISS0709,20/06/2025,Belawan,Force Majeure,Angin Kencang,15293,0.43,Alihkan kontainer ke terminal lain
ISS0710,20/06/2025,Belawan,Force Majeure,Hujan Deras,9787,0.45,Tambahkan armada ke pelabuhan
ISS0711,28/06/2025,Makassar,Overload,Cerah,7563,0.85,Aktifkan jalur logistik alternatif
ISS0712,15/07/2025,Makassar,Force Majeure,Kabut Tebal,5516,0.27,Alihkan kontainer ke terminal lain
ISS0713,28/06/2025,Tanjung Perak,Force Majeure,Angin Kencang,3369,0.7,Koordinasi dengan otoritas pelabuhan
ISS0714,18/06/2025,Bitung,Cuaca Buruk,Kabut Tebal,3647,0.52,Alokasikan ke terminal cadangan
ISS0715,24/06/2025,Bitung,Cuaca Buruk,Badai,18082,0.67,Tambahkan armada ke pelabuhan
ISS0716,29/06/2025,Tanjung Priok,Overload,Hujan Deras,4755,0.32,Alokasikan ke terminal cadangan
ISS0717,06/06/2025,Belawan,Overload,Badai,19588,0.12,Alihkan ke pelabuhan terdekat
ISS0718,12/07/2025,Makassar,Overload,Angin Kencang,17566,0.69,Tunda pengiriman hingga cuaca membaik
ISS0719,20/06/2025,Bitung,Force Majeure,Kabut Tebal,11533,0.91,Alihkan kontainer ke terminal lain
ISS0720,22/06/2025,Makassar,Overload,Hujan Deras,13670,0.44,Alokasikan ke terminal cadangan
ISS0721,05/06/2025,Bitung,Overload,Hujan Deras,15388,0.95,Alihkan kontainer ke terminal lain
ISS0722,06/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,9500,0.46,Tambahkan armada ke pelabuhan
ISS0723,28/06/2025,Tanjung Priok,Overload,Hujan Deras,19668,0.65,Alihkan kontainer ke terminal lain
ISS0724,07/07/2025,Makassar,Cuaca Buruk,Badai,9902,0.37,Koordinasi dengan otoritas pelabuhan
ISS0725,16/07/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,5927,0.61,Koordinasi dengan otoritas pelabuhan
